station	from_line	to_line	distance_m	seconds	source
을지로4가	5호선	2호선	77	179	upstream-V14.9.6
동대문역사문화공원	5호선	2호선	234	144	upstream-V14.9.6
동대문역사문화공원	5호선	4호선	107	154	upstream-V14.9.6
청구	5호선	6호선	104	77	upstream-V14.9.6
왕십리	5호선	2호선	86	224	upstream-V14.9.6
왕십리	5호선	경의중앙선	198	392	upstream-V14.9.6
왕십리	5호선	수인분당선	244	420	upstream-V14.9.6
군자	5호선	7호선	75	109	upstream-V14.9.6
천호	5호선	8호선	35	119	upstream-V14.9.6
올림픽공원	5호선	9호선	93	78	upstream-V14.9.6
오금	5호선	3호선	65	89	upstream-V14.9.6
태릉입구	6호선	7호선	46	173	upstream-V14.9.6
동묘앞	6호선	1호선	96	180	upstream-V14.9.6
신당	6호선	2호선	242	241	upstream-V14.9.6
청구	6호선	5호선	104	77	upstream-V14.9.6
약수	6호선	3호선	130	161	upstream-V14.9.6
삼각지	6호선	4호선	155	234	upstream-V14.9.6
효창공원앞	6호선	경의중앙선	110	92	upstream-V14.9.6
공덕	6호선	5호선	73	174	upstream-V14.9.6
공덕	6호선	경의중앙선	152	600	upstream-V14.9.6
합정	6호선	2호선	82	161	upstream-V14.9.6
디지털미디어시티	6호선	경의중앙선	55	140	upstream-V14.9.6
불광	6호선	3호선	100	230	upstream-V14.9.6
연신내	6호선	3호선	181	242	upstream-V14.9.6
도봉산	7호선	1호선	44	107	upstream-V14.9.6
노원	7호선	4호선	278	393	upstream-V14.9.6
태릉입구	7호선	6호선	46	173	upstream-V14.9.6
상봉	7호선	경의중앙선	100	83	upstream-V14.9.6
군자	7호선	5호선	75	109	upstream-V14.9.6
건대입구	7호선	2호선	77	152	upstream-V14.9.6
강남구청	7호선	수인분당선	125	420	upstream-V14.9.6
고속터미널	7호선	3호선	169	262	upstream-V14.9.6
고속터미널	7호선	9호선	314	600	upstream-V14.9.6
총신대입구(이수)	7호선	4호선	171	171	upstream-V14.9.6
대림	7호선	2호선	276	245	upstream-V14.9.6
가산디지털단지	7호선	1호선	110	196	upstream-V14.9.6
온수	7호선	1호선	102	254	upstream-V14.9.6
천호	8호선	5호선	35	119	upstream-V14.9.6
석촌	8호선	9호선	82	68	upstream-V14.9.6
잠실	8호선	2호선	190	158	upstream-V14.9.6
가락시장	8호선	3호선	35	89	upstream-V14.9.6
복정	8호선	수인분당선	16	46	upstream-V14.9.6
모란	8호선	수인분당선	99	91	upstream-V14.9.6
까치산	2호선	5호선		97	upstream-V14.9.6
대곡	경의중앙선	3호선		600	upstream-V14.9.6
수서	3호선	수인분당선		89	upstream-V14.9.6
용산	1호선	경의중앙선		68	upstream-V14.9.6
노량진	1호선	9호선		420	upstream-V14.9.6
신도림	1호선	2호선		188	upstream-V14.9.6
이촌	경의중앙선	4호선		111	upstream-V14.9.6
용산	경의중앙선	1호선		68	upstream-V14.9.6
옥수	경의중앙선	3호선		216	upstream-V14.9.6
왕십리	경의중앙선	수인분당선		420	upstream-V14.9.6
왕십리	경의중앙선	5호선		392	upstream-V14.9.6
왕십리	경의중앙선	2호선		169	upstream-V14.9.6
청량리	경의중앙선	1호선		180	upstream-V14.9.6
석계	1호선	6호선		208	upstream-V14.9.6
창동	1호선	4호선		133	upstream-V14.9.6
선릉	수인분당선	2호선		300	upstream-V14.9.6
도곡	수인분당선	3호선		300	upstream-V14.9.6
왕십리	수인분당선	5호선		492	upstream-V14.9.6
왕십리	수인분당선	경의중앙선		1292	upstream-V14.9.6
왕십리	수인분당선	2호선		516	upstream-V14.9.6
수서	수인분당선	3호선		89	upstream-V14.9.6
복정	수인분당선	8호선		46	upstream-V14.9.6
신길	1호선	5호선		391	upstream-V14.9.6
구리	경의중앙선	8호선		43	upstream-V14.9.6
공덕	경의중앙선	6호선		174	upstream-V14.9.6
공덕	경의중앙선	5호선		174	upstream-V14.9.6
홍대입구	경의중앙선	2호선		600	upstream-V14.9.6
